zip,latitude,longitude,county,region,num_facilities,zip_numbeds,zip_occup_rate,zippop,zip_afam,zip_asan,zip_hispan,zip_caucasn,zip_nativ,zip_othrace,zip_pctfem,zip_pctmale,zip_CMS_overall_rating,zip_nhoverall_rating,zip_qualityoffacility_rating,zip_abuse_current,zip_abuse_previous,zip_abuse_prior,zip_abuse_tot,zip_admin_current,zip_admin_previous,zip_admin_prior,zip_admin_tot,zip_all_current,zip_all_previous,zip_all_prior,zip_all_tot,zip_env_current,zip_env_previous,zip_env_prior,zip_env_tot,zip_ls_current,zip_ls_previous,zip_ls_prior,zip_ls_tot,zip_nursing_turnover,zip_aid_hprd,zip_N2009_Abuse,zip_N2009_Admin,zip_N2009_Care,zip_N2009_Environ,zip_N2009_Nutri,zip_N2009_Rights,zip_N2009_Staff,zip_N2009_Total,zip_N2010_Abuse,zip_N2010_Admin,zip_N2010_Care,zip_N2010_Environ,zip_N2010_Nutri,zip_N2010_Rights,zip_N2010_Staff,zip_N2010_Total,zip_N2011_Abuse,zip_N2011_Admin,zip_N2011_Care,zip_N2011_Environ,zip_N2011_Nutri,zip_N2011_Rights,zip_N2011_Staff,zip_N2011_Total,zip_N2012_Abuse,zip_N2012_Admin,zip_N2012_Care,zip_N2012_Environ,zip_N2012_Nutri,zip_N2012_Rights,zip_N2012_Staff,zip_N2012_Total,zip_N2013_Abuse,zip_N2013_Admin,zip_N2013_Care,zip_N2013_Environ,zip_N2013_Nutri,zip_N2013_Rights,zip_N2013_Staff,zip_N2013_Total
90039,34.111603448000494,-118.2612572749997,Los Angeles,Los Angeles,2,115.0,93.0,16747,9.5,25.0,28.5,25.5,0.0,40.0,63.5,36.5,4.0,3.5,3.0,0.5,0.0,0.5,1.0,0.0,0.0,0.5,0.5,14.0,12.5,21.5,48.0,2.0,1.0,2.0,5.0,2.0,3.5,3.5,9.0,17.5,2.4,0.5,0.5,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.5,1.5,0.0,1.5,1.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90041,34.13538366300048,-118.20684911499967,Los Angeles,Los Angeles,3,55.7,96.0,14836,5.7,13.0,5.3,76.3,0.0,5.0,79.7,20.3,3.3,4.0,3.3,0.3,0.0,0.7,1.0,0.7,0.7,0.7,2.0,15.0,13.3,15.3,43.7,0.7,1.0,1.0,2.7,5.3,3.3,4.3,13.0,18.9,2.7,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90042,34.11332407100048,-118.19142869099971,Los Angeles,Los Angeles,2,83.0,89.0,27027,8.5,15.0,39.5,36.0,0.0,40.5,52.0,48.0,4.5,4.5,4.0,0.0,0.5,0.0,0.5,0.5,0.0,0.5,1.0,11.0,11.5,14.5,37.0,0.5,0.5,0.5,1.5,2.5,6.0,3.0,11.5,90.2,2.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
90043,33.98673233600044,-118.33290641599967,Los Angeles,Los Angeles,2,56.0,94.5,27506,61.5,1.5,15.0,20.0,0.0,17.0,37.5,62.5,2.5,2.5,2.0,0.0,0.0,0.0,0.0,0.5,0.5,1.5,2.5,14.0,18.0,25.0,57.0,1.5,1.5,1.0,4.0,4.0,4.5,6.0,14.5,60.4,2.4,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5,0.0,0.0,0.5,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
90044,33.95386236800044,-118.2919460489997,Los Angeles,Los Angeles,1,49.0,93.0,34666,89.0,0.0,4.0,7.0,0.0,4.0,67.0,33.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,10.0,32.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,12.0,105.4,2.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90046,34.097151960000474,-118.35826821299969,Los Angeles,Los Angeles,1,81.0,92.0,30076,20.0,1.0,3.0,69.0,1.0,9.0,58.0,42.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,22.0,22.0,22.0,66.0,0.0,0.0,1.0,1.0,6.0,4.0,10.0,20.0,33.9,2.3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,2.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
90048,34.07316318500045,-118.37406665299972,Los Angeles,Los Angeles,2,118.0,89.0,13707,12.5,2.0,0.5,75.5,1.0,9.0,69.0,31.0,4.5,3.5,3.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,9.0,16.0,7.0,32.0,0.0,0.5,0.0,0.5,1.5,6.0,3.0,10.5,30.1,2.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.5,0.0,0.5,0.0,0.0,0.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,1.5
90049,34.06172278600047,-118.4722594319997,Los Angeles,Los Angeles,1,72.0,,23287,,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90057,34.06211383600049,-118.27713826999968,Los Angeles,Los Angeles,8,104.3,84.3,8998,18.6,41.0,22.9,21.0,0.3,19.1,56.7,43.3,2.5,2.4,1.8,0.8,0.5,0.5,1.8,1.3,1.5,0.4,3.1,21.5,25.6,18.8,65.9,1.5,1.8,0.9,4.1,4.6,7.8,7.5,19.9,45.0,2.7,0.4,0.1,0.4,0.3,0.0,0.4,0.0,1.5,0.1,0.0,0.9,0.1,0.0,0.1,0,1.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.5,1.5,0.5,0.4,0.0,0.0,3.9,1.1,0.9,2.9,0.0,0.0,0.3,0.0,5.1
90059,33.927010235000466,-118.24839605799968,Los Angeles,Los Angeles,1,149.0,96.0,16937,28.0,4.0,19.0,49.0,0.0,19.0,36.0,64.0,4.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,3.0,13.0,16.0,14.0,43.0,0.0,1.0,0.0,1.0,3.0,3.0,3.0,9.0,29.0,2.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0
